
Reading uwg file input.

Simulating new temperature and humidity values for 31 days from 12/1.

New climate file 'SGP_Singapore.486980_IWEC_UWG.epw' is generated at /home/gao/Documents/urbanWeatherGen/resources/epw_uwg.
         6968835 function calls (6968754 primitive calls) in 7.226 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        3    0.000    0.000    0.000    0.000 UWG/utilities.py:5(zeros)
       38    0.000    0.000    0.000    0.000 /usr/lib/python2.7/copy.py:267(_keep_alive)
       11    0.000    0.000    0.000    0.000 /home/gao/Documents/urbanWeatherGen/lib/python2.7/posixpath.py:61(join)
        1    0.000    0.000    0.000    0.000 /usr/lib/python2.7/logging/__init__.py:827(__init__)
        1    0.000    0.000    0.000    0.000 /usr/lib/python2.7/logging/__init__.py:665(__init__)
        3    0.000    0.000    0.000    0.000 /usr/lib/python2.7/logging/__init__.py:1071(_fixupParents)
        1    0.000    0.000    0.000    0.000 UWG/UCMDef.py:76(__init__)
        3    0.000    0.000    0.000    0.000 /usr/lib/python2.7/logging/__init__.py:1127(__init__)
        5    0.000    0.000    0.000    0.000 /home/gao/Documents/urbanWeatherGen/lib/python2.7/copy_reg.py:95(_slotnames)
        8    0.000    0.000    0.000    0.000 {sum}
        1    0.000    0.000    0.000    0.000 /usr/lib/python2.7/copy.py:234(_deepcopy_tuple)
        1    0.000    0.000    0.000    0.000 UWG/simparam.py:28(__init__)
        1    0.000    0.000    0.000    0.000 UWG/UWG.py:603(hvac_autosize)
      112    0.000    0.000    0.000    0.000 {method 'split' of 'str' objects}
      112    0.000    0.000    0.000    0.000 {method 'join' of 'str' objects}
        1    0.000    0.000    0.000    0.000 UWG/param.py:6(__init__)
        1    0.000    0.000    0.000    0.000 /usr/lib/python2.7/logging/__init__.py:694(createLock)
        1    0.000    0.000    0.000    0.000 /usr/lib/python2.7/logging/__init__.py:646(_addHandlerRef)
       21    0.000    0.000    0.000    0.000 UWG/material.py:11(__init__)
        1    0.000    0.000    0.000    0.000 /usr/lib/python2.7/threading.py:114(RLock)
        1    0.000    0.000    0.000    0.000 /usr/lib/python2.7/logging/__init__.py:1298(addHandler)
        3    0.000    0.000    0.000    0.000 {_csv.reader}
        4    0.000    0.000    0.000    0.000 /usr/lib/python2.7/logging/__init__.py:177(_checkLevel)
        1    0.000    0.000    0.000    0.000 /usr/lib/python2.7/threading.py:132(__init__)
        2    0.000    0.000    0.000    0.000 {round}
        4    0.000    0.000    0.000    0.000 /usr/lib/python2.7/logging/__init__.py:587(__init__)
        6    0.000    0.000    0.000    0.000 {method 'rfind' of 'str' objects}
        5    0.000    0.000    0.000    0.000 {method 'get' of 'dictproxy' objects}
       12    0.000    0.000    0.000    0.000 {method 'startswith' of 'str' objects}
        2    0.000    0.000    0.000    0.000 /usr/lib/python2.7/logging/__init__.py:976(append)
       13    0.000    0.000    0.000    0.000 {method 'endswith' of 'str' objects}
        1    0.000    0.000    0.000    0.000 /usr/lib/python2.7/threading.py:59(__init__)
